timeCounter;accXFilt;accYFilt;accZ;trackVoltage;motorCurrent
14983;26429;32902;2656;2539;68
15004;28642;33941;2047;2530;53
15024;28642;33832;2842;2475;59
15044;28642;31711;3104;2503;75
15064;28642;34874;3679;2565;47
15085;28642;33634;4062;2575;50
15105;28642;32628;1947;2543;59
15125;30889;33633;1668;2521;45
15145;30889;32350;2756;2524;58
15166;30889;33438;3401;2550;43
15186;30889;35172;3275;2562;47
15206;30889;33262;2557;2537;73
15226;30889;34489;3000;2511;44
15247;30889;33768;2187;2517;60
15267;32065;32003;2684;2543;59
15287;32065;34019;4041;2552;56
15307;32065;34888;2060;2520;66
15328;32065;33294;2511;2517;64
15348;32065;33091;2767;2523;37
15368;32065;33630;3442;2552;46
15388;32232;34116;2535;2549;57
15409;32232;35706;2461;2557;34
15429;32232;35316;1934;2532;36
15449;32232;33323;1383;2545;42
15469;32232;33977;1805;2537;50
15490;32232;35984;2216;2523;38
15510;32146;33861;2460;2527;34
15530;32146;32296;2625;2515;66
15550;32146;35817;2732;2530;54
15571;32146;35061;1825;2498;49
15591;32146;32940;2591;2495;28
15611;32146;33204;2245;2548;40
15631;32146;35559;3119;2549;33
15652;32249;34956;2211;2563;28
15672;32249;33123;2950;2518;55
15692;32249;34122;2544;2540;30
15712;32249;34960;2459;2563;38
15733;32249;35945;2658;2559;39
15753;32249;33886;2368;2544;48
15773;32326;34176;2409;2544;29
15793;32326;35342;3244;2569;39
15814;32326;35096;2903;2559;32
15834;32326;34586;2894;2550;53
15854;32326;35183;3494;2554;23
15874;32326;35687;2782;2544;31
15895;32379;35183;2212;2558;33
15915;32379;34673;2943;2530;30
15935;32379;34199;2138;2549;22
15955;32379;36450;3455;2563;35
15976;32379;35866;2474;2536;37
15996;32379;35321;1651;2551;18
16016;32379;36202;4092;2583;54
16036;32510;36046;1830;2563;29
16057;32510;38741;3291;2557;19
16077;32510;39206;3319;2552;24
16097;32510;39338;2231;2570;27
16117;32510;38859;3636;2566;42
16138;32510;40782;3571;2531;23
16158;32465;41340;2851;2571;18
16178;32465;39110;2782;2559;45
16198;32465;39727;937;2554;40
16219;32465;41217;4027;2571;23
16239;32465;39558;2715;2553;30
16259;32465;38320;2626;2571;35
16279;34056;37459;1933;2582;24
16300;34056;38730;2624;2550;49
16320;34056;37776;2539;2558;31
16340;34056;36542;2635;2569;23
